Title,Keyword,Search Type,Product Type,Mean,Median,Mode,Mode Freq,Std Dev,Max,Min,Percentile25,Percentile75
Rating,moissanite,Organic,All,4.13,4.4,5.0,1537.0,1.17,5.0,0.0,4.1,4.8
Reviews Count,moissanite,Organic,All,260.34,15.0,1.0,962.0,1385.19,43529.0,1.0,4.0,65.0
Amount Discounted,moissanite,Organic,All,23.06,10.0,10.0,36.0,42.7,356.7,0.6,5.0,20.0
Percent Discounted,moissanite,Organic,All,0.23,0.2,0.25,20.0,0.14,0.73,0.05,0.1,0.3
Revenue,moissanite,Organic,Best Seller,264403.89,113669.17,54015.85,3.0,291476.09,1021063.0,1686.62,54015.85,388223.0
Price,moissanite,Organic,Best Seller,26.19,15.95,15.95,4.0,18.16,54.95,9.98,15.95,41.95
Rating,moissanite,Organic,Best Seller,4.32,4.4,4.4,10.0,0.18,4.4,3.8,4.4,4.4
Reviews Count,moissanite,Organic,Best Seller,12794.77,7583.0,24340.0,4.0,11719.03,26766.0,169.0,983.0,24340.0
Amount Discounted,moissanite,Organic,Best Seller,1.98,1.98,1.87,1.0,0.15,2.08,1.87,1.92,2.03
Percent Discounted,moissanite,Organic,Best Seller,0.1,0.1,0.09,1.0,0.02,0.12,0.09,0.1,0.11
Revenue,moissanite,Organic,Past Month Sales Volume,68083.59,30718.98,61519.5,5.0,103984.6,711138.78,69.95,9008.31,77773.99
Price,moissanite,Organic,Past Month Sales Volume,41.63,19.99,9.99,20.0,43.85,299.99,4.93,13.95,54.92
Rating,moissanite,Organic,Past Month Sales Volume,4.41,4.4,4.5,74.0,0.25,5.0,3.1,4.3,4.55
Reviews Count,moissanite,Organic,Past Month Sales Volume,3185.0,1102.0,716.0,6.0,5215.5,43529.0,4.0,275.5,3889.5
Amount Discounted,moissanite,Organic,Past Month Sales Volume,15.11,6.39,1.0,4.0,17.77,75.0,1.0,2.08,21.02
Percent Discounted,moissanite,Organic,Past Month Sales Volume,0.24,0.23,0.1,2.0,0.14,0.68,0.05,0.1,0.3
Revenue,moissanite,Organic,Prime,11458.86,1687.76,99.99,30.0,36666.07,1021063.0,5.46,419.93,6629.61
Price,moissanite,Organic,Prime,116.36,65.99,49.99,311.0,198.49,4109.0,4.93,39.99,104.99
Rating,moissanite,Organic,Prime,4.3,4.4,5.0,989.0,0.8,5.0,0.0,4.2,4.7
Reviews Count,moissanite,Organic,Prime,312.55,24.0,1.0,511.0,1525.19,43529.0,1.0,6.0,90.25
Amount Discounted,moissanite,Organic,Prime,18.84,10.0,10.0,36.0,32.94,356.7,0.6,5.0,20.0
Percent Discounted,moissanite,Organic,Prime,0.22,0.2,0.25,20.0,0.14,0.68,0.05,0.1,0.3
