,asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
0,B0BPCJD7SP,159.89,"Vangoa Violin 4/4 Full Size Set, Fiddle Kit Acoustic, Violin Solid Maple Wood Ebony Fittings for Adults Kids",4.1,USD,,False,159.89,True,,,1,25,False,229.89,,,1.0,https://aax-us-iad.amazon.com/x/c/JI8XnQKc70oWLsWpdLv0cLcAAAGQg-jv0wEAAAH2AQBvbm9fdHhuX2JpZDcgICBvbm9fdHhuX2ltcDEgICAtBBxx/https://www.amazon.com/Vangoa-Acoustic-Professional-Matched-Beginner/dp/B0BPCJD7SP/ref=sxin_16_sbv_search_btf?content-id=amzn1.sym.5cde1a09-4942-4242-87c5-e66d2d3b6a3c:amzn1.sym.5cde1a09-4942-4242-87c5-e66d2d3b6a3c&cv_ct_cx=violin&dib=eyJ2IjoiMSJ9.NzRomq18rg0_KC_wt7DS7w.BWPm8MUVPKJXt9tiBahZtZ2XHBLIgnxbGQhOjwfS5Wg&dib_tag=se&keywords=violin&pd_rd_i=B0BPCJD7SP&pd_rd_r=1ef87fee-02bb-4be2-aa6f-295700df88fe&pd_rd_w=BlHNF&pd_rd_wg=pzWDa&pf_rd_p=5cde1a09-4942-4242-87c5-e66d2d3b6a3c&pf_rd_r=KVWGBTBY0TMEXR3KG4AR&qid=1720199999&s=musical-instruments&sbo=RZvfv//HxDF+O5021pAnSA==&sr=1-1-5190daf0-67e3-427c-bea6-c72c1df98776,https://aax-us-iad.amazon.com/e/loi/imp?b=JI8XnQKc70oWLsWpdLv0cLcAAAGQg-jv0wEAAAH2AQBvbm9fdHhuX2JpZDcgICBvbm9fdHhuX2ltcDEgICAtBBxx,paid,11969021,violin,1,1,3997.25,70.0,0.3044934533907521
1,B07WK18YMW,63.99,"Enya Concert Ukulele Nova U 23’’ Carbon Fiber Travel Ukulele with Beginner Kit includes online lessons, case, strap, capo and strings (Black)",4.7,USD,,False,63.99,True,,100+ bought in past month,1,5597,False,89.99,,,2.0,https://aax-us-iad.amazon.com/x/c/JH9nzVo2MJaUY5OjZLzOEGkAAAGQg-jv1wEAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICBTHjUG/https://www.amazon.com/Concert-Ukulele-Nova-Beginner-Waterproof/dp/B07WK18YMW/ref=sxbs_sbv_search_btf?content-id=amzn1.sym.2f0a8989-0b67-47e7-b61e-9e3ef9908602:amzn1.sym.2f0a8989-0b67-47e7-b61e-9e3ef9908602&cv_ct_cx=violin&dib=eyJ2IjoiMSJ9.J6SpubcsNCOzSNKqYbd9Ww.Tso11rooBp4X7rRSefY_ycQdd7HpIqLJGGoZUCvv_v0&dib_tag=se&keywords=violin&pd_rd_i=B07WK18YMW&pd_rd_r=3f5b475e-7e59-448f-878f-a078188fd6a5&pd_rd_w=lLms8&pd_rd_wg=CdSHC&pf_rd_p=2f0a8989-0b67-47e7-b61e-9e3ef9908602&pf_rd_r=KVWGBTBY0TMEXR3KG4AR&qid=1720199999&s=musical-instruments&sbo=Tc8eqSFhUl4VwMzbE4fw/w==&sr=1-1-a61ee601-6e56-4862-a8a2-1d3da5a5406f,https://aax-us-iad.amazon.com/e/loi/imp?b=JH9nzVo2MJaUY5OjZLzOEGkAAAGQg-jv1wEAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICBTHjUG,paid,11969021,violin,1,2,358152.03,25.999999999999993,0.28892099122124676
2,B000E1TJDE,53.0,Thomastik Dominant 4/4 Violin String Set - Medium Gauge - Steel Ball-End E,4.6,USD,True,False,53.0,False,,700+ bought in past month,1,1386,False,,"FREE delivery Wed, Jul 10 Or fastest delivery Mon, Jul 8",2.0,,/Thomastik-Dominant-Violin-String-Set/dp/B000E1TJDE/ref=sr_1_2?dib=eyJ2IjoiMSJ9.qI-MEI5_SzQnSDU8cgImWDhISxDeZf9Xe8JrWx5vj8Kh8am6XZ5NXHlxOR_3AvWWZS4EmSoWyD4w2hugaWQxZX4Qzxl2w50rfQQug6g-lZo3JazUrxJThZNZZAWGxQ0lTkjrLn00ZtydcLKoZyYdoJAVCEI8h3MxKApOgJgkbQ6ZVsamFN0R0iu49ovsmse0S_AIPJFtBkZuXaqvFQI8ryaxijGI3V1SKRIbH3QNKZGN2m7CibBElPRbZqg8SnBJ1Z1K7Q6bu5ujhvqSF7EFfRSN1uqo6kCfvi3PjnokqQ0.TFuEhYWjESZPvDzL3ujRJGwU_-uANUrRo5Qmq5j-uNw&dib_tag=se&keywords=violin&qid=1720199999&s=musical-instruments&sr=1-2,https://m.media-amazon.com/images/I/71zF6v3oReL._AC_UL320_.jpg,organic,11969021,violin,1,1,73458.0,,
3,B01MU4G32H,9.99,3 Packs Full Set Replacement Stainless Steel 4/4 Size Violin Strings E A D G,4.6,USD,True,False,9.99,False,,100+ bought in past month,1,1484,False,,"FREE delivery Wed, Jul 10 on $35 of items shipped by AmazonOr fastest delivery Mon, Jul 8",3.0,,/Packs-Replacement-Stainless-Violin-Strings/dp/B01MU4G32H/ref=sr_1_3?dib=eyJ2IjoiMSJ9.qI-MEI5_SzQnSDU8cgImWDhISxDeZf9Xe8JrWx5vj8Kh8am6XZ5NXHlxOR_3AvWWZS4EmSoWyD4w2hugaWQxZX4Qzxl2w50rfQQug6g-lZo3JazUrxJThZNZZAWGxQ0lTkjrLn00ZtydcLKoZyYdoJAVCEI8h3MxKApOgJgkbQ6ZVsamFN0R0iu49ovsmse0S_AIPJFtBkZuXaqvFQI8ryaxijGI3V1SKRIbH3QNKZGN2m7CibBElPRbZqg8SnBJ1Z1K7Q6bu5ujhvqSF7EFfRSN1uqo6kCfvi3PjnokqQ0.TFuEhYWjESZPvDzL3ujRJGwU_-uANUrRo5Qmq5j-uNw&dib_tag=se&keywords=violin&qid=1720199999&s=musical-instruments&sr=1-3,https://m.media-amazon.com/images/I/71wQ+IqJgeL._AC_UL320_.jpg,organic,11969021,violin,1,2,14825.16,,
4,B00DBC0ZA4,14.25,"Cecilio 4 Packs of Stainless Steel Violin Strings 4/4 Full Set with E, A, D, G Strings for Electric and Acoustic Violins - Reliable and Affordable Replacement for your Fiddle",4.6,USD,True,False,14.25,False,,50+ bought in past month,1,1244,False,,"FREE delivery Wed, Jul 10 on $35 of items shipped by AmazonOr fastest delivery Mon, Jul 8",4.0,,/Cecilio-Stainless-4-3-Violin-Strings/dp/B00DBC0ZA4/ref=sr_1_4?dib=eyJ2IjoiMSJ9.qI-MEI5_SzQnSDU8cgImWDhISxDeZf9Xe8JrWx5vj8Kh8am6XZ5NXHlxOR_3AvWWZS4EmSoWyD4w2hugaWQxZX4Qzxl2w50rfQQug6g-lZo3JazUrxJThZNZZAWGxQ0lTkjrLn00ZtydcLKoZyYdoJAVCEI8h3MxKApOgJgkbQ6ZVsamFN0R0iu49ovsmse0S_AIPJFtBkZuXaqvFQI8ryaxijGI3V1SKRIbH3QNKZGN2m7CibBElPRbZqg8SnBJ1Z1K7Q6bu5ujhvqSF7EFfRSN1uqo6kCfvi3PjnokqQ0.TFuEhYWjESZPvDzL3ujRJGwU_-uANUrRo5Qmq5j-uNw&dib_tag=se&keywords=violin&qid=1720199999&s=musical-instruments&sr=1-4,https://m.media-amazon.com/images/I/81aK8coX-GL._AC_UL320_.jpg,organic,11969021,violin,1,3,17727.0,,
5,B00030CJAG,19.99,"D'Addario Prelude Violin String Set, 3/4 Scale, Medium Tension – J810 3/4M - Solid Steel Core, Warm Tone, Economical and Durable – Educator’s Choice for Student Strings – 1 Set",4.7,USD,True,True,19.99,False,,100+ bought in past month,1,8230,False,,"FREE delivery Wed, Jul 10 on $35 of items shipped by AmazonOr fastest delivery Mon, Jul 8",5.0,,/DAddario-Prelude-Violin-String-Tension/dp/B00030CJAG/ref=sr_1_5?dib=eyJ2IjoiMSJ9.qI-MEI5_SzQnSDU8cgImWDhISxDeZf9Xe8JrWx5vj8Kh8am6XZ5NXHlxOR_3AvWWZS4EmSoWyD4w2hugaWQxZX4Qzxl2w50rfQQug6g-lZo3JazUrxJThZNZZAWGxQ0lTkjrLn00ZtydcLKoZyYdoJAVCEI8h3MxKApOgJgkbQ6ZVsamFN0R0iu49ovsmse0S_AIPJFtBkZuXaqvFQI8ryaxijGI3V1SKRIbH3QNKZGN2m7CibBElPRbZqg8SnBJ1Z1K7Q6bu5ujhvqSF7EFfRSN1uqo6kCfvi3PjnokqQ0.TFuEhYWjESZPvDzL3ujRJGwU_-uANUrRo5Qmq5j-uNw&dib_tag=se&keywords=violin&qid=1720199999&s=musical-instruments&sr=1-5,https://m.media-amazon.com/images/I/81TO5vUAEVL._AC_UL320_.jpg,organic,11969021,violin,1,4,164517.7,,
6,B004IJE6PO,13.99,"Top Race 4/4 & 3/4 Violin Strings Replacement - Bronze Violin Strings Full Set (G-D-A-E) - Violin String w/Ball Ends - Long-Lasting Silver-Wound Steel Strings - Warm Tone, Flexible - For All Levels",4.6,USD,True,False,13.99,False,,200+ bought in past month,1,1733,False,14.99,"FREE delivery Wed, Jul 10 on $35 of items shipped by AmazonOr fastest delivery Mon, Jul 8",6.0,,/Full-High-Quality-Violin-Strings/dp/B004IJE6PO/ref=sr_1_6?dib=eyJ2IjoiMSJ9.qI-MEI5_SzQnSDU8cgImWDhISxDeZf9Xe8JrWx5vj8Kh8am6XZ5NXHlxOR_3AvWWZS4EmSoWyD4w2hugaWQxZX4Qzxl2w50rfQQug6g-lZo3JazUrxJThZNZZAWGxQ0lTkjrLn00ZtydcLKoZyYdoJAVCEI8h3MxKApOgJgkbQ6ZVsamFN0R0iu49ovsmse0S_AIPJFtBkZuXaqvFQI8ryaxijGI3V1SKRIbH3QNKZGN2m7CibBElPRbZqg8SnBJ1Z1K7Q6bu5ujhvqSF7EFfRSN1uqo6kCfvi3PjnokqQ0.TFuEhYWjESZPvDzL3ujRJGwU_-uANUrRo5Qmq5j-uNw&dib_tag=se&keywords=violin&qid=1720199999&s=musical-instruments&sr=1-6,https://m.media-amazon.com/images/I/517oeSHMAxL._AC_UL320_.jpg,organic,11969021,violin,1,5,24244.67,1.0,0.066711140760507
7,B0731KJG61,0.0,"D'Addario Ascente Violin Strings - Violin Strings with Ball Ends, Synthetic Core - A310 4/4M - Full Set - 4/4 Scale - Medium Tension",4.5,USD,True,False,0.0,False,,100+ bought in past month,1,990,False,,"FREE delivery Wed, Jul 10 on $35 of items shipped by AmazonOr fastest delivery Mon, Jul 8",7.0,,/DAddario-A310-4M-M-Steel-Strings/dp/B0731KJG61/ref=sr_1_7?dib=eyJ2IjoiMSJ9.qI-MEI5_SzQnSDU8cgImWDhISxDeZf9Xe8JrWx5vj8Kh8am6XZ5NXHlxOR_3AvWWZS4EmSoWyD4w2hugaWQxZX4Qzxl2w50rfQQug6g-lZo3JazUrxJThZNZZAWGxQ0lTkjrLn00ZtydcLKoZyYdoJAVCEI8h3MxKApOgJgkbQ6ZVsamFN0R0iu49ovsmse0S_AIPJFtBkZuXaqvFQI8ryaxijGI3V1SKRIbH3QNKZGN2m7CibBElPRbZqg8SnBJ1Z1K7Q6bu5ujhvqSF7EFfRSN1uqo6kCfvi3PjnokqQ0.TFuEhYWjESZPvDzL3ujRJGwU_-uANUrRo5Qmq5j-uNw&dib_tag=se&keywords=violin&qid=1720199999&s=musical-instruments&sr=1-7,https://m.media-amazon.com/images/I/81p9ZPaAWPL._AC_UL320_.jpg,organic,11969021,violin,1,6,,,
8,B07B9GSVQ6,9.99,Violin strings Universal Full Set (G-D-A-E) violin Fiddle String Strings Steel Core Nickel-silver Wound with Nickel-plated Ball End for 4/4 3/4 1/2 1/4 Violins,4.6,USD,True,False,9.99,False,,200+ bought in past month,1,2019,False,,"FREE delivery Wed, Jul 10 on $35 of items shipped by AmazonOr fastest delivery Mon, Jul 8",8.0,,/strings-Universal-Strings-Nickel-silver-Nickel-plated/dp/B07B9GSVQ6/ref=sr_1_8?dib=eyJ2IjoiMSJ9.qI-MEI5_SzQnSDU8cgImWDhISxDeZf9Xe8JrWx5vj8Kh8am6XZ5NXHlxOR_3AvWWZS4EmSoWyD4w2hugaWQxZX4Qzxl2w50rfQQug6g-lZo3JazUrxJThZNZZAWGxQ0lTkjrLn00ZtydcLKoZyYdoJAVCEI8h3MxKApOgJgkbQ6ZVsamFN0R0iu49ovsmse0S_AIPJFtBkZuXaqvFQI8ryaxijGI3V1SKRIbH3QNKZGN2m7CibBElPRbZqg8SnBJ1Z1K7Q6bu5ujhvqSF7EFfRSN1uqo6kCfvi3PjnokqQ0.TFuEhYWjESZPvDzL3ujRJGwU_-uANUrRo5Qmq5j-uNw&dib_tag=se&keywords=violin&qid=1720199999&s=musical-instruments&sr=1-8,https://m.media-amazon.com/images/I/51oJZqC-1kL._AC_UL320_.jpg,organic,11969021,violin,1,7,20169.81,,
9,B005OEWS2A,1800.0,"D Z Strad Violin - Model 500 - Light Antique Finish with Dominant Strings, Case, Bow and Rosin (Full Size - 4/4)",5.0,USD,True,False,1800.0,False,,,1,5,False,,"FREE delivery Wed, Jul 10 Or fastest delivery Tue, Jul 9",9.0,,/Strad-Violin-Antique-Dominant-Strings/dp/B005OEWS2A/ref=sr_1_9?dib=eyJ2IjoiMSJ9.qI-MEI5_SzQnSDU8cgImWDhISxDeZf9Xe8JrWx5vj8Kh8am6XZ5NXHlxOR_3AvWWZS4EmSoWyD4w2hugaWQxZX4Qzxl2w50rfQQug6g-lZo3JazUrxJThZNZZAWGxQ0lTkjrLn00ZtydcLKoZyYdoJAVCEI8h3MxKApOgJgkbQ6ZVsamFN0R0iu49ovsmse0S_AIPJFtBkZuXaqvFQI8ryaxijGI3V1SKRIbH3QNKZGN2m7CibBElPRbZqg8SnBJ1Z1K7Q6bu5ujhvqSF7EFfRSN1uqo6kCfvi3PjnokqQ0.TFuEhYWjESZPvDzL3ujRJGwU_-uANUrRo5Qmq5j-uNw&dib_tag=se&keywords=violin&qid=1720199999&s=musical-instruments&sr=1-9,https://m.media-amazon.com/images/I/51Wz3c0t5iL._AC_UL320_.jpg,organic,11969021,violin,1,8,9000.0,,
