asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
B0B3JB5PYC,158.99,Moissanite Tennis Bracelet for Women Sterling Silver Wedding Bracelets for Brides Stacking Dainty Bracelets with 18K White Gold Plated,4.3,USD,True,False,158.99,False,,,1,71,False,0.0,"FREE delivery Thu, Jul 11 Or fastest delivery Wed, Jul 10",9.0,,/Moissanite-Bracelet-Sterling-Bracelets-Plated-18/dp/B0B3JB5PYC/ref=sr_1_9?dib=eyJ2IjoiMSJ9.RavKC9DWSMjjXIwlzJ3D4T9ecxqCHxiXHKRlSTITebQc77kjpqVgcwj51pBFW0BTieDC6GpQlJgXzGfEFLsa8pIVf1Jhn9MATb8T_dCdSlmbwx2Au3-B_yklExIBaFa_KDDsl9t5zo3RWxGGjowqWnQ8MF_q13a9GSne7a7Q0OB3LAg3mScl_G97q5Hm0DhMBfNCW70yZDBqw2esTbHEUKIUa5YnL2QLuk4FWVXNmoFr6dfvb29sV7_9bxf7k7o1FcuGUcvXFweAVphiaCg6nsFmnJOg_saN7i-a7GezoZE.ffnCPQqsvYRAngVkcfO_BlEAoCzCrwBhDwS4OPv1lBk&dib_tag=se&keywords=moissanite&qid=1720255315&s=apparel&sr=1-9,https://m.media-amazon.com/images/I/61UwUFQVgJL._AC_UL320_.jpg,organic,7454898011,moissanite,1,9,11288.29,0.0,0.0
B0CXT714VT,42.99,"Bezel Moissanite Bracelet, 0.66cttw D Color VVS1 Sterling Silver Platinum Plated Adjustable Dainty Bracelets for Women Mother's day Valentine's day Birthday Jewelry Gifts",5.0,USD,True,False,42.99,False,,,1,4,False,0.0,"FREE delivery Thu, Jul 11 Or fastest delivery Wed, Jul 10",10.0,,/PROSTORY-Moissanite-Adjustable-Bracelets-Valentines/dp/B0CXT714VT/ref=sr_1_10?dib=eyJ2IjoiMSJ9.RavKC9DWSMjjXIwlzJ3D4T9ecxqCHxiXHKRlSTITebQc77kjpqVgcwj51pBFW0BTieDC6GpQlJgXzGfEFLsa8pIVf1Jhn9MATb8T_dCdSlmbwx2Au3-B_yklExIBaFa_KDDsl9t5zo3RWxGGjowqWnQ8MF_q13a9GSne7a7Q0OB3LAg3mScl_G97q5Hm0DhMBfNCW70yZDBqw2esTbHEUKIUa5YnL2QLuk4FWVXNmoFr6dfvb29sV7_9bxf7k7o1FcuGUcvXFweAVphiaCg6nsFmnJOg_saN7i-a7GezoZE.ffnCPQqsvYRAngVkcfO_BlEAoCzCrwBhDwS4OPv1lBk&dib_tag=se&keywords=moissanite&qid=1720255315&s=apparel&sr=1-10,https://m.media-amazon.com/images/I/61-rLWhcW1L._AC_UL320_.jpg,organic,7454898011,moissanite,1,10,171.96,0.0,0.0
B0BNLRDQCT,58.99,"Moissanite Bracelet,S925 Sterling Silver White Gold Plated Tennis Bracelets for Women Jewelry Wedding-mothers day gifts",4.3,USD,True,False,58.99,False,,,1,15,False,0.0,"FREE delivery Thu, Jul 11 Or fastest delivery Wed, Jul 10",11.0,,/Fmrose-Moissanite-Bracelet-Bracelets-Wedding-mothers/dp/B0BNLRDQCT/ref=sr_1_11?dib=eyJ2IjoiMSJ9.RavKC9DWSMjjXIwlzJ3D4T9ecxqCHxiXHKRlSTITebQc77kjpqVgcwj51pBFW0BTieDC6GpQlJgXzGfEFLsa8pIVf1Jhn9MATb8T_dCdSlmbwx2Au3-B_yklExIBaFa_KDDsl9t5zo3RWxGGjowqWnQ8MF_q13a9GSne7a7Q0OB3LAg3mScl_G97q5Hm0DhMBfNCW70yZDBqw2esTbHEUKIUa5YnL2QLuk4FWVXNmoFr6dfvb29sV7_9bxf7k7o1FcuGUcvXFweAVphiaCg6nsFmnJOg_saN7i-a7GezoZE.ffnCPQqsvYRAngVkcfO_BlEAoCzCrwBhDwS4OPv1lBk&dib_tag=se&keywords=moissanite&qid=1720255315&s=apparel&sr=1-11,https://m.media-amazon.com/images/I/71eOIYXzr4L._AC_UL320_.jpg,organic,7454898011,moissanite,1,11,884.85,0.0,0.0
B0BSB43PCK,84.99,"Moissanite Tennis Bracelet For Women Bridal Wedding Fashion with Box Chain and Slider (3.00 Cttw, Round 4MM, Fully Adjustable Up to 9 Inch)",4.3,USD,True,False,84.99,False,,,1,17,False,0.0,"FREE delivery Thu, Jul 11 Or fastest delivery Wed, Jul 10",12.0,,/Gem-Stone-King-Moissanite-Adjustable/dp/B0BSB43PCK/ref=sr_1_12?dib=eyJ2IjoiMSJ9.RavKC9DWSMjjXIwlzJ3D4T9ecxqCHxiXHKRlSTITebQc77kjpqVgcwj51pBFW0BTieDC6GpQlJgXzGfEFLsa8pIVf1Jhn9MATb8T_dCdSlmbwx2Au3-B_yklExIBaFa_KDDsl9t5zo3RWxGGjowqWnQ8MF_q13a9GSne7a7Q0OB3LAg3mScl_G97q5Hm0DhMBfNCW70yZDBqw2esTbHEUKIUa5YnL2QLuk4FWVXNmoFr6dfvb29sV7_9bxf7k7o1FcuGUcvXFweAVphiaCg6nsFmnJOg_saN7i-a7GezoZE.ffnCPQqsvYRAngVkcfO_BlEAoCzCrwBhDwS4OPv1lBk&dib_tag=se&keywords=moissanite&qid=1720255315&s=apparel&sr=1-12,https://m.media-amazon.com/images/I/61JstKkh1RL._AC_UL320_.jpg,organic,7454898011,moissanite,1,12,1444.83,0.0,0.0
B0D17TJ12X,39.99,"Moissanite Tennis Bracelet, 18K White Gold Plated Lab Diamond Bracelets for Women, 925 Sterling Silver Wedding Stacking Paperclip Classic Bracelets, D Color VVS1 Round Cut, GRA Certificate, 6.5+2 inch",4.1,USD,True,False,39.99,False,,,1,18,False,0.0,"FREE delivery Thu, Jul 11",13.0,,/Moissanite-Bracelet-Bracelets-Paperclip-Certificate/dp/B0D17TJ12X/ref=sr_1_13?dib=eyJ2IjoiMSJ9.RavKC9DWSMjjXIwlzJ3D4T9ecxqCHxiXHKRlSTITebQc77kjpqVgcwj51pBFW0BTieDC6GpQlJgXzGfEFLsa8pIVf1Jhn9MATb8T_dCdSlmbwx2Au3-B_yklExIBaFa_KDDsl9t5zo3RWxGGjowqWnQ8MF_q13a9GSne7a7Q0OB3LAg3mScl_G97q5Hm0DhMBfNCW70yZDBqw2esTbHEUKIUa5YnL2QLuk4FWVXNmoFr6dfvb29sV7_9bxf7k7o1FcuGUcvXFweAVphiaCg6nsFmnJOg_saN7i-a7GezoZE.ffnCPQqsvYRAngVkcfO_BlEAoCzCrwBhDwS4OPv1lBk&dib_tag=se&keywords=moissanite&qid=1720255315&s=apparel&sr=1-13,https://m.media-amazon.com/images/I/61KjTl-1M9L._AC_UL320_.jpg,organic,7454898011,moissanite,1,13,719.82,0.0,0.0
B0CSMTMYLW,129.99,"KSTYLE Moissanite Bracelet for Women, 18K White Gold Plated S925 Sterling Silver Bracelets |D Color VVS1| 1.2ct Moissanite Bangle Bracelets, Vintage Swallowtail Setting",5.0,USD,True,False,129.99,False,,,1,4,False,0.0,"FREE delivery Thu, Jul 11 Or fastest delivery Wed, Jul 10",14.0,,/Moissanite-Bracelet-Sterling-Bracelets-Swallowtail/dp/B0CSMTMYLW/ref=sr_1_14?dib=eyJ2IjoiMSJ9.RavKC9DWSMjjXIwlzJ3D4T9ecxqCHxiXHKRlSTITebQc77kjpqVgcwj51pBFW0BTieDC6GpQlJgXzGfEFLsa8pIVf1Jhn9MATb8T_dCdSlmbwx2Au3-B_yklExIBaFa_KDDsl9t5zo3RWxGGjowqWnQ8MF_q13a9GSne7a7Q0OB3LAg3mScl_G97q5Hm0DhMBfNCW70yZDBqw2esTbHEUKIUa5YnL2QLuk4FWVXNmoFr6dfvb29sV7_9bxf7k7o1FcuGUcvXFweAVphiaCg6nsFmnJOg_saN7i-a7GezoZE.ffnCPQqsvYRAngVkcfO_BlEAoCzCrwBhDwS4OPv1lBk&dib_tag=se&keywords=moissanite&qid=1720255315&s=apparel&sr=1-14,https://m.media-amazon.com/images/I/61GmPgx9HAL._AC_UL320_.jpg,organic,7454898011,moissanite,1,14,519.96,0.0,0.0
B0BQDQ7NXL,199.99,"Moissanite Tennis Bracelet 2.25-21 Carat Moissanite Bracelets for Women Men's Bracelets 18k White Gold Plated 925 Sterling Silver Bracelet, 2mm-5mm D Color VVS1 Round Cut Lab Created Diamond Tennis Bracelet with GRA Certificate",4.3,USD,True,False,199.99,False,,,1,291,False,0.0,"FREE delivery Thu, Jul 11 Or fastest delivery Wed, Jul 10",15.0,,/4-8Carats-Moissanite-Simulated-Bracelets-Brilliant/dp/B0BQDQ7NXL/ref=sr_1_15?dib=eyJ2IjoiMSJ9.RavKC9DWSMjjXIwlzJ3D4T9ecxqCHxiXHKRlSTITebQc77kjpqVgcwj51pBFW0BTieDC6GpQlJgXzGfEFLsa8pIVf1Jhn9MATb8T_dCdSlmbwx2Au3-B_yklExIBaFa_KDDsl9t5zo3RWxGGjowqWnQ8MF_q13a9GSne7a7Q0OB3LAg3mScl_G97q5Hm0DhMBfNCW70yZDBqw2esTbHEUKIUa5YnL2QLuk4FWVXNmoFr6dfvb29sV7_9bxf7k7o1FcuGUcvXFweAVphiaCg6nsFmnJOg_saN7i-a7GezoZE.ffnCPQqsvYRAngVkcfO_BlEAoCzCrwBhDwS4OPv1lBk&dib_tag=se&keywords=moissanite&qid=1720255315&s=apparel&sr=1-15,https://m.media-amazon.com/images/I/61fjwn+TapL._AC_UL320_.jpg,organic,7454898011,moissanite,1,15,58197.090000000004,0.0,0.0
B0CJTG9R1H,229.0,"Moissanite Tennis Bracelet,10.5-14 Carats Lab Created Simulated Diamond Bracelets for Women 18k White Gold Plated 925 Sterling Silver Men's Bracelet 4mm D Color VVS1 Round Cut Moissanite Bracelet for Women Men Jewelry Gift",4.4,USD,True,False,229.0,False,,,1,32,False,269.99,"FREE delivery Thu, Jul 11 Or fastest delivery Wed, Jul 10",16.0,,/Moissanite-Bracelet-Simulated-Bracelets-Sterling/dp/B0CJTG9R1H/ref=sr_1_16?dib=eyJ2IjoiMSJ9.RavKC9DWSMjjXIwlzJ3D4T9ecxqCHxiXHKRlSTITebQc77kjpqVgcwj51pBFW0BTieDC6GpQlJgXzGfEFLsa8pIVf1Jhn9MATb8T_dCdSlmbwx2Au3-B_yklExIBaFa_KDDsl9t5zo3RWxGGjowqWnQ8MF_q13a9GSne7a7Q0OB3LAg3mScl_G97q5Hm0DhMBfNCW70yZDBqw2esTbHEUKIUa5YnL2QLuk4FWVXNmoFr6dfvb29sV7_9bxf7k7o1FcuGUcvXFweAVphiaCg6nsFmnJOg_saN7i-a7GezoZE.ffnCPQqsvYRAngVkcfO_BlEAoCzCrwBhDwS4OPv1lBk&dib_tag=se&keywords=moissanite&qid=1720255315&s=apparel&sr=1-16,https://m.media-amazon.com/images/I/71-rAK0fZYL._AC_UL320_.jpg,organic,7454898011,moissanite,1,16,7328.0,40.99000000000001,0.1518204377939924
B0D541PKCP,65.99,"Moissanite Cuff Bracelet, 1.0cttw D Color Lab Created Diamond Bracelet fit 7"" Below Wrist, Sterling Silver Platinum Plated Open Bangle for Women, Ladies, Girlfriend Birthday Gift",0.0,USD,True,False,65.99,False,,,1,10,False,0.0,"FREE delivery Thu, Jul 11",17.0,,/PROSTORY-Moissanite-Bracelet-Sterling-Girlfriend/dp/B0D541PKCP/ref=sr_1_17?dib=eyJ2IjoiMSJ9.RavKC9DWSMjjXIwlzJ3D4T9ecxqCHxiXHKRlSTITebQc77kjpqVgcwj51pBFW0BTieDC6GpQlJgXzGfEFLsa8pIVf1Jhn9MATb8T_dCdSlmbwx2Au3-B_yklExIBaFa_KDDsl9t5zo3RWxGGjowqWnQ8MF_q13a9GSne7a7Q0OB3LAg3mScl_G97q5Hm0DhMBfNCW70yZDBqw2esTbHEUKIUa5YnL2QLuk4FWVXNmoFr6dfvb29sV7_9bxf7k7o1FcuGUcvXFweAVphiaCg6nsFmnJOg_saN7i-a7GezoZE.ffnCPQqsvYRAngVkcfO_BlEAoCzCrwBhDwS4OPv1lBk&dib_tag=se&keywords=moissanite&qid=1720255315&s=apparel&sr=1-17,https://m.media-amazon.com/images/I/51ShBt0iW8L._AC_UL320_.jpg,organic,7454898011,moissanite,1,17,659.9,0.0,0.0
B0BSFBH3S2,47.49,"Moissanite Diamond Tennis Bracelet with GRA Certificate & Gift Box for Women, 18K White Gold Plated 925 Sterling Silver Fashion Jewelry, Gift for Girlfriends Wife",4.3,USD,True,False,47.49,False,,,1,11,False,49.99,"FREE delivery Thu, Jul 11",18.0,,/sheborn-Moissanite-Bracelets-Adjustable-Girlfriend/dp/B0BSFBH3S2/ref=sr_1_18?dib=eyJ2IjoiMSJ9.RavKC9DWSMjjXIwlzJ3D4T9ecxqCHxiXHKRlSTITebQc77kjpqVgcwj51pBFW0BTieDC6GpQlJgXzGfEFLsa8pIVf1Jhn9MATb8T_dCdSlmbwx2Au3-B_yklExIBaFa_KDDsl9t5zo3RWxGGjowqWnQ8MF_q13a9GSne7a7Q0OB3LAg3mScl_G97q5Hm0DhMBfNCW70yZDBqw2esTbHEUKIUa5YnL2QLuk4FWVXNmoFr6dfvb29sV7_9bxf7k7o1FcuGUcvXFweAVphiaCg6nsFmnJOg_saN7i-a7GezoZE.ffnCPQqsvYRAngVkcfO_BlEAoCzCrwBhDwS4OPv1lBk&dib_tag=se&keywords=moissanite&qid=1720255315&s=apparel&sr=1-18,https://m.media-amazon.com/images/I/61e0WoBjVYL._AC_UL320_.jpg,organic,7454898011,moissanite,1,18,522.39,2.5,0.05001000200040008
