Title,Category ID,Keyword,Search Type,Product Type,Mean,Median,Mode,Mode Freq,Std Dev,Max,Min,Percentile25,Percentile75
Rating,11968991,violin,Organic,Past Month Sales Volume,4.64,4.65,4.7,6,0.15,5.0,4.4,4.6,4.7
Reviews Count,11968991,violin,Organic,Past Month Sales Volume,1622.33,592.0,10.0,1,2522.66,9714.0,10.0,173.75,1979.0
Amount Discounted,11968991,violin,Organic,Past Month Sales Volume,2.67,2.0,1.0,1,1.59,5.0,1.0,1.79,3.7
Percent Discounted,11968991,violin,Organic,Past Month Sales Volume,0.26,0.28,0.09,1,0.15,0.5,0.09,0.14,0.33
Revenue,11968991,violin,Organic,Prime,3214.83,490.75,29.99,3,7814.44,51169.23,4.83,155.76,2331.34
Price,11968991,violin,Organic,Prime,18.88,16.37,9.99,4,13.62,87.99,2.95,9.21,24.59
Rating,11968991,violin,Organic,Prime,4.02,4.5,4.5,13,1.44,5.0,0.0,4.2,4.7
Reviews Count,11968991,violin,Organic,Prime,374.56,33.0,1.0,8,1271.72,9714.0,0.0,8.0,147.75
Amount Discounted,11968991,violin,Organic,Prime,2.89,2.01,2.0,3,2.21,9.7,0.96,1.86,3.14
Percent Discounted,11968991,violin,Organic,Prime,0.2,0.16,0.06,1,0.13,0.5,0.06,0.1,0.28
Revenue,11968991,violin,Organic,Amazon's Choice,15818.88,15818.88,15818.88,1,,15818.88,15818.88,15818.88,15818.88
Price,11968991,violin,Organic,Amazon's Choice,5.28,5.28,5.28,1,,5.28,5.28,5.28,5.28
Rating,11968991,violin,Organic,Amazon's Choice,4.6,4.6,4.6,1,,4.6,4.6,4.6,4.6
Reviews Count,11968991,violin,Organic,Amazon's Choice,2996.0,2996.0,2996.0,1,,2996.0,2996.0,2996.0,2996.0
Revenue,11968991,violin,Paid,All,120776.58,13482.93,1119.93,1,257074.22,871891.87,1119.93,5497.06,58899.84
Price,11968991,violin,Paid,All,625.9,154.94,63.99,1,791.14,1999.0,63.99,102.49,1199.0
Rating,11968991,violin,Paid,All,4.37,4.3,4.1,3,0.42,5.0,3.8,4.07,4.7
Reviews Count,11968991,violin,Paid,All,1082.58,34.0,12.0,2,2174.23,5813.0,3.0,10.75,516.0
Amount Discounted,11968991,violin,Paid,All,31.2,26.0,10.0,1,25.04,70.0,10.0,10.0,40.0
Percent Discounted,11968991,violin,Paid,All,0.21,0.29,0.06,1,0.13,0.33,0.06,0.08,0.3
Revenue,11968991,violin,Paid,Best Seller,102951.42,102951.42,102951.42,1,,102951.42,102951.42,102951.42,102951.42
Price,11968991,violin,Paid,Best Seller,119.99,119.99,119.99,1,,119.99,119.99,119.99,119.99
Rating,11968991,violin,Paid,Best Seller,3.9,3.9,3.9,1,,3.9,3.9,3.9,3.9
Reviews Count,11968991,violin,Paid,Best Seller,858.0,858.0,858.0,1,,858.0,858.0,858.0,858.0
Amount Discounted,11968991,violin,Paid,Best Seller,10.0,10.0,10.0,1,,10.0,10.0,10.0,10.0
Percent Discounted,11968991,violin,Paid,Best Seller,0.08,0.08,0.08,1,,0.08,0.08,0.08,0.08
Revenue,11968991,violin,Paid,Past Month Sales Volume,615021.95,615021.95,358152.03,1,363268.92,871891.87,358152.03,486586.99,743456.91
Price,11968991,violin,Paid,Past Month Sales Volume,106.99,106.99,63.99,1,60.81,149.99,63.99,85.49,128.49
Rating,11968991,violin,Paid,Past Month Sales Volume,4.4,4.4,4.1,1,0.42,4.7,4.1,4.25,4.55
Reviews Count,11968991,violin,Paid,Past Month Sales Volume,5705.0,5705.0,5597.0,1,152.74,5813.0,5597.0,5651.0,5759.0
Amount Discounted,11968991,violin,Paid,Past Month Sales Volume,18.0,18.0,10.0,1,11.31,26.0,10.0,14.0,22.0
Percent Discounted,11968991,violin,Paid,Past Month Sales Volume,0.18,0.18,0.06,1,0.16,0.29,0.06,0.12,0.23
Revenue,11968991,violin,Paid,Prime,120776.58,13482.93,1119.93,1,257074.22,871891.87,1119.93,5497.06,58899.84
Price,11968991,violin,Paid,Prime,625.9,154.94,63.99,1,791.14,1999.0,63.99,102.49,1199.0
Rating,11968991,violin,Paid,Prime,4.37,4.3,4.1,3,0.42,5.0,3.8,4.07,4.7
Reviews Count,11968991,violin,Paid,Prime,1082.58,34.0,12.0,2,2174.23,5813.0,3.0,10.75,516.0
Amount Discounted,11968991,violin,Paid,Prime,31.2,26.0,10.0,1,25.04,70.0,10.0,10.0,40.0
Percent Discounted,11968991,violin,Paid,Prime,0.21,0.29,0.06,1,0.13,0.33,0.06,0.08,0.3
