Title,Category ID,Keyword,Search Type,Product Type,Mean,Median,Mode,Mode Freq,Std Dev,Max,Min,Percentile25,Percentile75
Price,11969021,violin,Organic,All,58.81,32.99,5.99,6,157.63,1800.0,0.0,12.04,73.43
Rating,11969021,violin,Organic,All,4.38,4.5,4.6,23,0.75,5.0,0.0,4.3,4.7
Reviews Count,11969021,violin,Organic,All,263.92,45.0,5.0,7,787.72,8230.0,0.0,13.0,209.0
Amount Discounted,11969021,violin,Organic,All,8.71,4.66,1.0,2,13.85,72.32,0.95,2.26,8.5
Percent Discounted,11969021,violin,Organic,All,0.2,0.16,0.05,1,0.15,0.6,0.05,0.08,0.35
Revenue,11969021,violin,Organic,Best Seller,164517.7,164517.7,164517.7,1,,164517.7,164517.7,164517.7,164517.7
Price,11969021,violin,Organic,Best Seller,19.99,19.99,19.99,1,,19.99,19.99,19.99,19.99
Rating,11969021,violin,Organic,Best Seller,4.7,4.7,4.7,1,,4.7,4.7,4.7,4.7
Reviews Count,11969021,violin,Organic,Best Seller,8230.0,8230.0,8230.0,1,,8230.0,8230.0,8230.0,8230.0
Revenue,11969021,violin,Organic,Past Month Sales Volume,24508.0,11609.76,143.1,1,35252.74,164517.7,143.1,4333.88,28849.58
Price,11969021,violin,Organic,Past Month Sales Volume,40.73,19.99,5.99,2,36.42,114.68,0.0,11.25,70.26
Rating,11969021,violin,Organic,Past Month Sales Volume,4.54,4.6,4.6,9,0.14,4.7,4.2,4.45,4.65
Reviews Count,11969021,violin,Organic,Past Month Sales Volume,903.85,402.0,9.0,1,1571.89,8230.0,9.0,217.5,1117.0
Amount Discounted,11969021,violin,Organic,Past Month Sales Volume,7.92,5.91,1.0,1,6.67,22.7,1.0,3.86,10.65
Percent Discounted,11969021,violin,Organic,Past Month Sales Volume,0.12,0.08,0.05,1,0.09,0.35,0.05,0.07,0.15
Revenue,11969021,violin,Organic,Prime,9431.49,3327.36,5.98,1,20042.54,164517.7,5.98,419.79,8433.04
Price,11969021,violin,Organic,Prime,61.58,35.99,5.99,6,171.32,1800.0,0.0,12.02,74.19
Rating,11969021,violin,Organic,Prime,4.43,4.5,4.5,22,0.52,5.0,0.0,4.3,4.6
Reviews Count,11969021,violin,Organic,Prime,308.47,64.0,5.0,5,855.26,8230.0,0.0,16.5,270.0
Amount Discounted,11969021,violin,Organic,Prime,7.01,3.86,1.0,2,9.55,50.51,0.95,1.94,8.19
Percent Discounted,11969021,violin,Organic,Prime,0.2,0.16,0.05,1,0.13,0.45,0.05,0.08,0.33
Revenue,11969021,violin,Organic,Amazon's Choice,2557.73,2557.73,2557.73,1,,2557.73,2557.73,2557.73,2557.73
Price,11969021,violin,Organic,Amazon's Choice,5.99,5.99,5.99,1,,5.99,5.99,5.99,5.99
Rating,11969021,violin,Organic,Amazon's Choice,4.5,4.5,4.5,1,,4.5,4.5,4.5,4.5
Reviews Count,11969021,violin,Organic,Amazon's Choice,427.0,427.0,427.0,1,,427.0,427.0,427.0,427.0
Revenue,11969021,violin,Paid,All,411347.05,358152.03,3997.25,1,436385.78,871891.87,3997.25,181074.64,615021.95
Price,11969021,violin,Paid,All,124.62,149.99,63.99,1,52.74,159.89,63.99,106.99,154.94
Rating,11969021,violin,Paid,All,4.3,4.1,4.1,2,0.35,4.7,4.1,4.1,4.4
Reviews Count,11969021,violin,Paid,All,3811.67,5597.0,25.0,1,3281.13,5813.0,25.0,2811.0,5705.0
Amount Discounted,11969021,violin,Paid,All,35.33,26.0,10.0,1,31.07,70.0,10.0,18.0,48.0
Percent Discounted,11969021,violin,Paid,All,0.22,0.29,0.06,1,0.14,0.3,0.06,0.18,0.3
Revenue,11969021,violin,Paid,Past Month Sales Volume,615021.95,615021.95,358152.03,1,363268.92,871891.87,358152.03,486586.99,743456.91
Price,11969021,violin,Paid,Past Month Sales Volume,106.99,106.99,63.99,1,60.81,149.99,63.99,85.49,128.49
Rating,11969021,violin,Paid,Past Month Sales Volume,4.4,4.4,4.1,1,0.42,4.7,4.1,4.25,4.55
Reviews Count,11969021,violin,Paid,Past Month Sales Volume,5705.0,5705.0,5597.0,1,152.74,5813.0,5597.0,5651.0,5759.0
Amount Discounted,11969021,violin,Paid,Past Month Sales Volume,18.0,18.0,10.0,1,11.31,26.0,10.0,14.0,22.0
Percent Discounted,11969021,violin,Paid,Past Month Sales Volume,0.18,0.18,0.06,1,0.16,0.29,0.06,0.12,0.23
Revenue,11969021,violin,Paid,Prime,411347.05,358152.03,3997.25,1,436385.78,871891.87,3997.25,181074.64,615021.95
Price,11969021,violin,Paid,Prime,124.62,149.99,63.99,1,52.74,159.89,63.99,106.99,154.94
Rating,11969021,violin,Paid,Prime,4.3,4.1,4.1,2,0.35,4.7,4.1,4.1,4.4
Reviews Count,11969021,violin,Paid,Prime,3811.67,5597.0,25.0,1,3281.13,5813.0,25.0,2811.0,5705.0
Amount Discounted,11969021,violin,Paid,Prime,35.33,26.0,10.0,1,31.07,70.0,10.0,18.0,48.0
Percent Discounted,11969021,violin,Paid,Prime,0.22,0.29,0.06,1,0.14,0.3,0.06,0.18,0.3
Revenue,11969001,violin,Organic,All,3646.77,704.53,7759.47,2,9010.63,64633.8,6.99,119.94,2685.02
Price,11969001,violin,Organic,All,23.7,17.87,8.99,7,35.97,398.99,0.0,9.99,24.99
Rating,11969001,violin,Organic,All,4.2,4.4,4.6,22,0.88,5.0,0.0,4.1,4.6
Reviews Count,11969001,violin,Organic,All,163.78,36.5,1.0,8,355.46,2244.0,0.0,8.0,122.5
Amount Discounted,11969001,violin,Organic,All,4.07,2.96,1.0,6,3.68,15.04,0.5,1.0,6.03
Percent Discounted,11969001,violin,Organic,All,0.17,0.14,0.1,4,0.1,0.48,0.05,0.1,0.22
Revenue,11969001,violin,Organic,Best Seller,34117.96,34117.96,34117.96,1,,34117.96,34117.96,34117.96,34117.96
Price,11969001,violin,Organic,Best Seller,17.24,17.24,17.24,1,,17.24,17.24,17.24,17.24
Rating,11969001,violin,Organic,Best Seller,4.6,4.6,4.6,1,,4.6,4.6,4.6,4.6
Reviews Count,11969001,violin,Organic,Best Seller,1979.0,1979.0,1979.0,1,,1979.0,1979.0,1979.0,1979.0
Revenue,11969001,violin,Organic,Past Month Sales Volume,11294.66,4147.1,22.47,1,16934.85,64633.8,22.47,1923.56,11306.33
Price,11969001,violin,Organic,Past Month Sales Volume,16.92,12.99,9.99,3,14.02,69.95,0.0,8.99,18.35
Rating,11969001,violin,Organic,Past Month Sales Volume,4.5,4.5,4.6,7,0.16,4.8,4.2,4.4,4.6
Reviews Count,11969001,violin,Organic,Past Month Sales Volume,553.97,341.0,3.0,1,611.08,2244.0,3.0,152.0,778.0
Amount Discounted,11969001,violin,Organic,Past Month Sales Volume,6.25,5.65,0.5,1,5.53,15.04,0.5,2.96,7.1
Percent Discounted,11969001,violin,Organic,Past Month Sales Volume,0.17,0.19,0.06,1,0.06,0.24,0.06,0.18,0.19
Revenue,11969001,violin,Organic,Prime,3404.8,759.21,7759.47,2,7633.72,55202.4,6.99,115.89,2906.25
Price,11969001,violin,Organic,Prime,20.53,17.24,8.99,7,16.2,109.5,5.99,9.99,24.45
Rating,11969001,violin,Organic,Prime,4.2,4.4,4.6,16,0.78,5.0,0.0,4.1,4.6
Reviews Count,11969001,violin,Organic,Prime,174.62,39.0,1.0,7,370.68,2244.0,0.0,10.0,152.0
Amount Discounted,11969001,violin,Organic,Prime,3.25,2.0,1.0,5,2.86,10.47,0.5,1.0,5.06
Percent Discounted,11969001,violin,Organic,Prime,0.15,0.14,0.1,4,0.08,0.3,0.05,0.09,0.19
Revenue,11969001,violin,Organic,Amazon's Choice,16082.16,16082.16,16082.16,1,,16082.16,16082.16,16082.16,16082.16
Price,11969001,violin,Organic,Amazon's Choice,11.86,11.86,11.86,1,,11.86,11.86,11.86,11.86
Rating,11969001,violin,Organic,Amazon's Choice,4.3,4.3,4.3,1,,4.3,4.3,4.3,4.3
Reviews Count,11969001,violin,Organic,Amazon's Choice,1356.0,1356.0,1356.0,1,,1356.0,1356.0,1356.0,1356.0
Revenue,11969001,violin,Paid,All,306701.7,44215.98,3997.25,1,489881.96,871891.87,3997.25,24106.62,458053.92
Price,11969001,violin,Paid,All,139.96,149.99,109.99,1,26.42,159.89,109.99,129.99,154.94
Rating,11969001,violin,Paid,All,4.1,4.1,4.1,3,0.0,4.1,4.1,4.1,4.1
Reviews Count,11969001,violin,Paid,All,2080.0,402.0,25.0,1,3238.36,5813.0,25.0,213.5,3107.5
Amount Discounted,11969001,violin,Paid,All,40.0,40.0,10.0,1,42.43,70.0,10.0,25.0,55.0
Percent Discounted,11969001,violin,Paid,All,0.18,0.18,0.06,1,0.17,0.3,0.06,0.12,0.24
Revenue,11969001,violin,Paid,Past Month Sales Volume,871891.87,871891.87,871891.87,1,,871891.87,871891.87,871891.87,871891.87
Price,11969001,violin,Paid,Past Month Sales Volume,149.99,149.99,149.99,1,,149.99,149.99,149.99,149.99
Rating,11969001,violin,Paid,Past Month Sales Volume,4.1,4.1,4.1,1,,4.1,4.1,4.1,4.1
Reviews Count,11969001,violin,Paid,Past Month Sales Volume,5813.0,5813.0,5813.0,1,,5813.0,5813.0,5813.0,5813.0
Amount Discounted,11969001,violin,Paid,Past Month Sales Volume,10.0,10.0,10.0,1,,10.0,10.0,10.0,10.0
Percent Discounted,11969001,violin,Paid,Past Month Sales Volume,0.06,0.06,0.06,1,,0.06,0.06,0.06,0.06
Revenue,11969001,violin,Paid,Prime,306701.7,44215.98,3997.25,1,489881.96,871891.87,3997.25,24106.62,458053.92
Price,11969001,violin,Paid,Prime,139.96,149.99,109.99,1,26.42,159.89,109.99,129.99,154.94
Rating,11969001,violin,Paid,Prime,4.1,4.1,4.1,3,0.0,4.1,4.1,4.1,4.1
Reviews Count,11969001,violin,Paid,Prime,2080.0,402.0,25.0,1,3238.36,5813.0,25.0,213.5,3107.5
Amount Discounted,11969001,violin,Paid,Prime,40.0,40.0,10.0,1,42.43,70.0,10.0,25.0,55.0
Percent Discounted,11969001,violin,Paid,Prime,0.18,0.18,0.06,1,0.17,0.3,0.06,0.12,0.24
Revenue,11968961,violin,Organic,All,4366.24,590.0,5.7,2,11943.18,104216.85,5.7,55.0,3829.5
Price,11968961,violin,Organic,All,77.09,25.69,23.99,7,150.37,895.0,4.82,13.64,57.0
Rating,11968961,violin,Organic,All,3.67,4.3,5.0,24,1.6,5.0,0.0,3.7,4.6
Reviews Count,11968961,violin,Organic,All,94.68,9.0,1.0,20,259.07,2003.0,0.0,2.0,60.5
Amount Discounted,11968961,violin,Organic,All,4.12,2.7,0.92,1,3.68,10.0,0.92,1.37,7.28
Percent Discounted,11968961,violin,Organic,All,0.19,0.1,0.05,1,0.18,0.64,0.05,0.08,0.23
