,asin,position,keyword,category_id,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url,url_image,source,page,min_revenue,discount,discount_rate
2260,B0CB2ZZDMG,249,birthstone,7454898011,12.99,Initial A-Z Letter Charm Golden Heart Alphabet Dangle Beads for Bracelets & Necklaces,4.3,USD,False,False,12.99,False,,,1,15299,False,0.0,FREE delivery Jul 15 - 22 Or fastest delivery Jul 11 - 16,10.0,,https://www.amazon.com/dp/B0CB2ZZDMG,https://m.media-amazon.com/images/I/614fvSaL8ZL._AC_UL320_.jpg,organic,6,198734.01,0.0,0.0
1130,B09334JJ75,80,cubic zirconia,7454898011,16.99,"Silver Bracelet, S925 Tennis Bracelet with Sparkling 5A Cubic Zirconia Silver Bracelets for Women Adjustable Bracelet for Women Bracelets Womens Bracelet Women Gifts for Women Mom Girls",4.5,USD,True,False,16.99,False,,,1,11427,False,0.0,"FREE delivery Thu, Jul 11 on $35 of items shipped by AmazonOr fastest delivery Wed, Jul 10",33.0,,https://www.amazon.com/dp/B09334JJ75,https://m.media-amazon.com/images/I/71C7UflNdPL._AC_UL320_.jpg,organic,2,194144.73,0.0,0.0
712,B07MZN82GQ,4; 20; 33,solid gold,7454898011,32.99,14K Solid Gold Ball Stud Earrings (3-Pair-Pack) 3MM 4MM and 5MM - Choose a Color,4.3,USD,,False,32.99,True,,800+,1,5326,False,49.99,,,1.0,https://www.amazon.com/dp/B07MZN82GQ,https://aax-us-iad.amazon.com/e/loi/imp?b=JE_TF_Iw3RtHehLauLv9UoYAAAGQh6ll7QEAAAH2AQBvbm9fdHhuX2JpZDcgICBvbm9fdHhuX2ltcDEgICDOqkKe,paid,1,175704.74,17.0,0.34
622,B07F3XQ896,2,sterling silver,7454898011,18.9,"925 Sterling Silver Italian 5mm Mesh Link Chain Bracelet for Women, Made in Italy",4.5,USD,True,False,18.9,False,,1000+,1,9134,False,0.0,"FREE delivery Thu, Jul 11 on $35 of items shipped by AmazonOr fastest delivery Mon, Jul 8",3.0,,https://www.amazon.com/dp/B07F3XQ896,https://m.media-amazon.com/images/I/71ykPOlJgiL._AC_UL320_.jpg,organic,1,172632.6,0.0,0.0
964,B08CZ7Y51G,58,birthstone,7454898011,27.99,"Birthstone Charms 925 Sterling Silver Love Heart Openwork Bead for Charm Bracelets and Necklaces with 5A Cubic Zirconia, Birthday Mothers Day Jewelry Gifts Women",4.6,USD,True,False,27.99,False,,,1,5992,False,29.99,"FREE delivery Thu, Jul 11 on $35 of items shipped by AmazonOr fastest delivery Tue, Jul 9",11.0,,https://www.amazon.com/dp/B08CZ7Y51G,https://m.media-amazon.com/images/I/71MsMb6knKL._AC_UL320_.jpg,organic,2,167716.08,2.0,0.07
23,B00030CJAG,4,violin,11969021,19.99,"D'Addario Prelude Violin String Set, 3/4 Scale, Medium Tension – J810 3/4M - Solid Steel Core, Warm Tone, Economical and Durable – Educator’s Choice for Student Strings – 1 Set",4.7,USD,True,True,19.99,False,,100+,1,8230,False,,"FREE delivery Wed, Jul 10 on $35 of items shipped by AmazonOr fastest delivery Mon, Jul 8",5.0,,https://www.amazon.com/dp/B00030CJAG,https://m.media-amazon.com/images/I/81TO5vUAEVL._AC_UL320_.jpg,organic,1,164517.7,0.0,0.0
452,B01M3247PO,100,cubic zirconia,7454898011,133.0,"Sterling Silver Tennis Bracelet set with Round Cut Infinite Elements Cubic Zirconia,",4.2,USD,True,False,133.0,False,,,1,1217,False,0.0,"FREE delivery Thu, Jul 11 Or fastest delivery Tue, Jul 9",5.0,,https://www.amazon.com/dp/B01M3247PO,https://m.media-amazon.com/images/I/81xjtpExT8L._AC_UL320_.jpg,organic,3,161861.0,0.0,0.0
962,B08CS8WM6G,67,sterling silver,7454898011,21.99,"Dainty Gold Bracelets for Women, 14K Gold Filled Adjustable Layered Bracelet Cute Evil Eye Oval Chain Pearl Bar Turtle Gold Bracelets for Women Jewelry",4.4,USD,True,False,21.99,False,,,1,7351,False,0.0,"FREE delivery Thu, Jul 11 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Jul 7",20.0,,https://www.amazon.com/dp/B08CS8WM6G,https://m.media-amazon.com/images/I/61HnsTYpQjL._AC_UL320_.jpg,organic,2,161648.49,0.0,0.0
2847,B0CSN7T9L5,80,gold plated,7454898011,14.99,Bracelet for Women 14K Gold Plated Dainty Chain Simple Jewelry Cute Handmade Minimalist for Her,4.5,USD,True,False,14.99,False,,,1,10767,False,0.0,"FREE delivery Mon, Jul 15 on $35 of items shipped by Amazon",33.0,,https://www.amazon.com/dp/B0CSN7T9L5,https://m.media-amazon.com/images/I/61a0jznSC7L._AC_UL320_.jpg,organic,2,161397.33,0.0,0.0
1628,B0B8R2KYRX,274,cubic zirconia,7454898011,14.99,Bracelet for Women 14K Gold Plated Dainty Chain Simple Jewelry Cute Handmade Minimalist for Her,4.5,USD,True,False,14.99,False,,,1,10766,False,0.0,"FREE delivery Thu, Jul 11 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Jul 7",35.0,,https://www.amazon.com/dp/B0B8R2KYRX,https://m.media-amazon.com/images/I/615H8x0mb1L._AC_UL320_.jpg,organic,6,161382.34,0.0,0.0
545,B0773QQYQK,25,sterling silver,7454898011,13.99,"Silver Bracelet, S925 Tennis Bracelet with Sparkling 5A Cubic Zirconia Silver Bracelets for Women Adjustable Bracelet for Women Bracelets Womens Bracelet Women Gifts for Women Mom Girls",4.5,USD,True,False,13.99,False,,300+,1,11427,False,0.0,"FREE delivery Thu, Jul 11 on $35 of items shipped by AmazonOr fastest delivery Tue, Jul 9",26.0,,https://www.amazon.com/dp/B0773QQYQK,https://m.media-amazon.com/images/I/716TSANm8qL._AC_UL320_.jpg,organic,1,159863.73,0.0,0.0
244,B007UMDBDO,44,birthstone,7454898011,27.75,"Bangle Bar Imitation Birthstone Bangle Bracelet, 2.75""",4.6,USD,True,False,27.75,False,,,1,5517,False,0.0,"FREE delivery Thu, Jul 11 on $35 of items shipped by AmazonOr fastest delivery Mon, Jul 8",45.0,,https://www.amazon.com/dp/B007UMDBDO,https://m.media-amazon.com/images/I/8126UaHmJAL._AC_UL320_.jpg,organic,1,153096.75,0.0,0.0
1325,B09M98D9C2,2,amethyst,7454898011,26.26,"Travel Chakra Crystals and Healing Stones in Wooden Gift Box + 50pg EBOOK – 7 Chakra Tumbled Gemstones, Amethyst Crystal, Rose Quartz, Quartz Crystal Point, Stone Guide, Made in U.S.A.",4.7,USD,,False,26.26,True,,50+,1,5738,False,28.0,,,2.0,https://www.amazon.com/dp/B09M98D9C2,https://aax-us-iad.amazon.com/e/loi/imp?b=JJYUp1nGbDVx5hnSsF_6txIAAAGQh6r-SwEAAAH2AQBvbm9fdHhuX2JpZDUgICBvbm9fdHhuX2ltcDEgICCWFTL-,paid,1,150679.88,1.74,0.06
619,B07DWPCQN5,238; 241,sterling silver,7454898011,27.99,"Birthstone Charms for Charms Bracelet- 925 Sterling Silver Bead Openwork Charms, Happy Birthday Charms for Bracelet and Necklace Valentine's Day Mother's Day Gift",4.6,USD,True,False,27.99,False,,,1,5037,False,0.0,"FREE delivery Fri, Jul 12 on $35 of items shipped by Amazon",47.0,,https://www.amazon.com/dp/B07DWPCQN5,https://m.media-amazon.com/images/I/61KzFvjV12L._AC_UL320_.jpg,organic,5,140985.63,0.0,0.0
830,B07ZFLFVR2,35,solid gold,7454898011,339.0,by Ross-Simons Italian 14kt Yellow Gold Bismark-Link Bracelet,4.4,USD,True,False,339.0,False,,,1,403,False,0.0,"FREE delivery Wed, Jul 10",35.0,,https://www.amazon.com/dp/B07ZFLFVR2,https://m.media-amazon.com/images/I/61f6BEdVv2L._AC_UL320_.jpg,organic,1,136617.0,0.0,0.0
789,B07VCRJTPW,136,sterling silver,7454898011,129.0,Byzantine Beaded-Edge Bracelet,4.6,USD,True,False,129.0,False,,,1,1039,False,0.0,"FREE delivery Mon, Jul 8",41.0,,https://www.amazon.com/dp/B07VCRJTPW,https://m.media-amazon.com/images/I/71R8JjHJGzL._AC_UL320_.jpg,organic,3,134031.0,0.0,0.0
478,B01N7S8DY7,9,birthstone,7454898011,64.9,"Elaina Adjustable Chain Bracelet for Women, Fashion Jewelry, Gold-Plated",4.7,USD,True,False,64.9,False,,,1,1992,False,0.0,"FREE delivery Thu, Jul 11 Or fastest delivery Tue, Jul 9",10.0,,https://www.amazon.com/dp/B01N7S8DY7,https://m.media-amazon.com/images/I/71x8mbrAIGL._AC_UL320_.jpg,organic,1,129280.8,0.0,0.0
976,B08F9YSJZG,7,gold plated,7454898011,13.99,Gold Bead Bracelet for Women 14K Gold Plated Bead Ball Bracelet Stretchable Elastic Hypoallergenic Bohemian Stackable Bracelet,4.0,USD,True,False,13.99,False,,200+,1,8839,False,0.0,"FREE delivery Thu, Jul 11 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Jul 7",8.0,,https://www.amazon.com/dp/B08F9YSJZG,https://m.media-amazon.com/images/I/61GovEKNpBL._AC_UL320_.jpg,organic,1,123657.61,0.0,0.0
753,B07RK1G3S9,5,amethyst,7454898011,18.99,Healing Stone Bracelet 8mm Beads Chakra Crystal Energy Heart Charm Bracelet Handmade Jewelry for Women,4.5,USD,True,False,18.99,False,,100+,1,6110,False,0.0,"FREE delivery Thu, Jul 11 on $35 of items shipped by AmazonOr fastest delivery Tue, Jul 9",6.0,,https://www.amazon.com/dp/B07RK1G3S9,https://m.media-amazon.com/images/I/61qVFmdRfTL._AC_UL320_.jpg,organic,1,116028.9,0.0,0.0
963,B08CXV4MBS,186; 197,birthstone,7454898011,27.99,"Birthstone Charms for Charms Bracelet- 925 Sterling Silver Love Heart Beads Infinite Love Charms, Happy Birthday Charms for Bracelet and Necklace",4.7,USD,True,False,27.99,False,,,1,4052,False,0.0,"FREE delivery Thu, Jul 11 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Jul 7",43.0,,https://www.amazon.com/dp/B08CXV4MBS,https://m.media-amazon.com/images/I/610vVyKPP0L._AC_UL320_.jpg,organic,4,113415.48,0.0,0.0
141,B0028K3LF6,3,cubic zirconia,7454898011,31.88,Platinum Plated Sterling Silver Cushion Cut Cubic Zirconia Stud Earrings (previously Amazon Collection),4.4,USD,True,False,31.88,True,,,1,3549,False,0.0,"FREE delivery Thu, Jul 11 on $35 of items shipped by AmazonOr fastest delivery Today 5 PM - 10 PM",17.0,,https://www.amazon.com/dp/B0028K3LF6,https://m.media-amazon.com/images/I/610GqFez9xL._AC_UL320_.jpg,paid,1,113142.12,0.0,0.0
1615,B0B7ZNHXLD,3; 4; 5; 6; 7; 8,amethyst,7454898011,129.99,"S925 Sterling Silver Necklace for Women, Wife Jewelry Rose Gold, Mom Birthday Valentines Mothers Day Gifts, Girlfriend Necklaces, Daughter Heart Jewel, Anniversary for Her",4.6,USD,,False,129.99,True,,,1,849,False,0.0,,,1.0,https://www.amazon.com/dp/B0B7ZNHXLD,https://aax-us-iad.amazon.com/e/loi/imp?b=JG1QWNwoOlnVeHtaJgKMm7gAAAGQh6sJwwEAAAH2AQBvbm9fdHhuX2JpZDcgICBvbm9fdHhuX2ltcDEgICCtvEpg,paid,2,110361.51,0.0,0.0
