Title,Keyword,Type,Mean,Median,Mode,Mode Freq,Std Dev,Max,Min,Percentile25,Percentile75
Prime Prices,lapis lazuli,Paid,27.45,12.99,9.99,16,47.87,362.99,4.99,8.99,20.74
Amount Discounted,lapis lazuli,Paid,2.72,2.18,1.0,4,2.15,9.0,0.78,1.0,3.62
Percentage Discounted,lapis lazuli,Paid,0.16,0.16,0.17,3,0.06,0.29,0.09,0.11,0.18
Revenue,moonstone,Organic,8172.35,596.89,19.99,16,38899.5,1118520.0,1.58,120.0,3322.14
Prices,moonstone,Organic,33.66,22.99,9.99,249,64.74,2828.0,0.39,14.02,33.99
Rating,moonstone,Organic,4.01,4.4,4.5,695,1.23,5.0,0.0,4.0,4.6
Reviews Count,moonstone,Organic,440.54,24.0,1.0,521,1846.48,47299.0,1.0,5.0,144.0
Best Sellers Revenue,moonstone,Organic,186977.88,16379.5,11678.31,2,309983.55,1118520.0,949.05,4675.32,341022.5
Best Sellers Prices,moonstone,Organic,18.47,12.99,9.99,7,15.37,72.0,8.99,9.99,14.99
Past Month Sales Revenue,moonstone,Organic,44599.23,9144.98,84191.82,3,114811.61,1118520.0,19.98,2274.57,36437.19
Past Month Sales Prices,moonstone,Organic,16.91,13.98,9.99,47,13.11,149.0,4.99,10.99,16.99
Prime Revenue,moonstone,Organic,9169.08,719.4,39.96,16,41709.47,1118520.0,5.69,139.86,3871.02
Prime Prices,moonstone,Organic,28.86,20.5,9.99,239,39.38,1302.0,2.99,13.99,31.99
Amount Discounted,moonstone,Organic,5.54,3.0,1.0,56,7.74,90.4,0.5,1.56,6.24
Percentage Discounted,moonstone,Organic,0.19,0.14,0.07,12,0.14,0.85,0.05,0.08,0.25
Revenue,moonstone,Paid,7630.92,563.33,9544.17,3,30584.0,287862.4,12.99,138.66,3858.59
Prices,moonstone,Paid,81.01,34.99,29.99,7,126.48,799.0,6.99,25.99,76.25
Rating,moonstone,Paid,4.13,4.5,5.0,29,1.29,5.0,0.0,4.1,4.72
Reviews Count,moonstone,Paid,347.96,10.0,1.0,20,1910.41,20272.0,1.0,3.0,83.0
Past Month Sales Revenue,moonstone,Paid,52867.53,3622.49,12.99,1,95086.77,287862.4,12.99,649.35,50317.04
Past Month Sales Prices,moonstone,Paid,38.78,23.99,9.99,2,50.86,169.99,9.99,12.99,31.95
Prime Revenue,moonstone,Paid,8132.98,633.8,9544.17,3,31945.37,287862.4,12.99,144.46,3932.4
Prime Prices,moonstone,Paid,81.81,34.99,29.99,7,128.65,799.0,6.99,26.49,69.69
Amount Discounted,moonstone,Paid,9.67,5.0,4.0,2,10.66,30.0,1.0,4.0,8.5
Percentage Discounted,moonstone,Paid,0.18,0.11,0.06,1,0.21,0.74,0.06,0.09,0.15
Revenue,pearl,Organic,11218.49,589.41,9.99,65,46989.54,1090089.0,0.06,99.2,3889.22
Prices,pearl,Organic,24.95,12.66,9.99,903,78.45,2999.0,0.01,8.99,16.99
Rating,pearl,Organic,4.21,4.4,4.5,1161,0.92,5.0,0.0,4.2,4.6
Reviews Count,pearl,Organic,654.7,42.0,1.0,461,2638.44,45855.0,1.0,8.0,251.0
Best Sellers Revenue,pearl,Organic,88046.84,4675.32,4335.66,2,188444.84,807820.0,9.99,269.46,27087.3
Best Sellers Prices,pearl,Organic,15.02,13.73,9.99,7,8.31,52.0,6.99,9.99,15.48
Past Month Sales Revenue,pearl,Organic,26025.08,2827.28,687366.45,8,77540.7,807820.0,6.99,531.12,14393.2
Past Month Sales Prices,pearl,Organic,15.31,12.97,9.99,218,15.3,289.97,1.97,9.29,14.99
Prime Revenue,pearl,Organic,11418.2,619.38,9.99,62,47246.61,1090089.0,2.99,102.17,4126.77
Prime Prices,pearl,Organic,21.85,11.99,9.99,881,57.72,2151.69,1.97,8.99,15.99
Amount Discounted,pearl,Organic,3.67,2.0,1.0,217,5.21,70.0,-3.51,1.0,4.0
Percentage Discounted,pearl,Organic,0.2,0.17,0.07,38,0.14,0.77,-0.47,0.1,0.26
Revenue,pearl,Paid,9392.07,516.18,189.81,3,36259.21,327789.0,8.99,120.18,2789.77
Prices,pearl,Paid,55.42,18.98,9.99,13,119.39,1099.0,7.21,12.99,44.53
Rating,pearl,Paid,4.22,4.5,4.5,21,1.06,5.0,0.0,4.2,4.7
Reviews Count,pearl,Paid,186.73,19.5,1.0,12,500.76,3034.0,1.0,6.0,116.25
Past Month Sales Revenue,pearl,Paid,9759.83,985.14,189.81,3,24209.84,123611.4,9.99,190.92,5576.42
Past Month Sales Prices,pearl,Paid,17.48,13.74,9.99,5,11.5,59.4,7.21,10.24,18.11
Prime Revenue,pearl,Paid,9696.52,584.55,189.81,3,36966.35,327789.0,8.99,125.91,2879.76
Prime Prices,pearl,Paid,47.89,18.99,9.99,12,75.3,589.0,7.21,12.99,43.16
Amount Discounted,pearl,Paid,8.23,5.0,2.0,5,10.21,39.6,1.0,2.0,8.95
Percentage Discounted,pearl,Paid,0.18,0.15,0.13,2,0.13,0.5,0.05,0.08,0.28
Revenue,peridot,Organic,9060.11,854.91,99.99,23,44483.33,1284337.28,1.99,199.98,4180.0
Prices,peridot,Organic,76.57,29.99,9.99,179,138.88,3300.0,0.99,15.88,74.0
Rating,peridot,Organic,4.09,4.4,5.0,704,1.2,5.0,0.0,4.1,4.7
Reviews Count,peridot,Organic,343.82,20.0,1.0,511,1289.83,26781.0,1.0,4.0,126.0
Best Sellers Revenue,peridot,Organic,298371.78,85804.11,807820.0,2,335332.31,807820.0,1925.59,5521.0,558826.98
Best Sellers Prices,peridot,Organic,20.99,9.99,7.99,2,18.11,52.0,6.99,8.49,29.48
Past Month Sales Revenue,peridot,Organic,68663.71,13385.42,153921.51,2,164060.87,1284337.28,41.97,3591.0,59762.78
Past Month Sales Prices,peridot,Organic,20.2,13.99,9.99,23,19.39,129.99,4.99,9.99,21.12
Prime Revenue,peridot,Organic,11134.6,1259.82,99.99,21,49701.17,1284337.28,4.99,279.74,5822.95
Prime Prices,peridot,Organic,60.18,25.99,9.99,164,100.95,2705.91,2.99,14.91,59.99
Amount Discounted,peridot,Organic,8.73,3.0,1.0,27,22.41,258.25,0.5,1.53,7.13
Percentage Discounted,peridot,Organic,0.2,0.17,0.23,6,0.12,0.68,0.05,0.1,0.27
Revenue,peridot,Paid,5995.37,929.07,7.99,4,20546.67,287862.4,6.99,179.75,3568.3
Prices,peridot,Paid,82.24,19.65,9.99,15,299.75,4376.98,4.99,10.96,57.47
Rating,peridot,Paid,4.16,4.4,4.5,40,1.06,5.0,0.0,4.1,4.6
Reviews Count,peridot,Paid,327.83,25.0,1.0,21,1400.48,20272.0,1.0,5.0,155.5
Best Sellers Revenue,peridot,Paid,884.41,884.41,884.41,1,,884.41,884.41,884.41,884.41
Best Sellers Prices,peridot,Paid,14.99,14.99,14.99,1,,14.99,14.99,14.99,14.99
Past Month Sales Revenue,peridot,Paid,8230.93,1524.91,1359.15,2,11913.51,42578.7,59.99,629.1,11662.22
Past Month Sales Prices,peridot,Paid,17.94,13.99,13.99,5,13.51,59.99,5.99,11.99,15.99
Prime Revenue,peridot,Paid,6457.94,1024.85,7.99,4,21913.71,287862.4,7.99,161.82,3927.04
Prime Prices,peridot,Paid,44.1,15.99,9.99,13,75.3,799.0,4.99,9.99,48.08
Amount Discounted,peridot,Paid,3.5,2.0,1.0,5,6.92,30.0,0.5,1.0,3.0
Percentage Discounted,peridot,Paid,0.13,0.12,0.07,2,0.06,0.3,0.07,0.08,0.17
