Title,Keyword,Type,Mean,Median,Mode,Mode Freq,Std Dev,Max,Min,Percentile25,Percentile75
Past Month Sales Revenue,birthstone,Organic,71823.91,14162.19,153096.19,11,170850.3,1284337.28,7.99,3470.76,66350.52
Past Month Sales Prices,birthstone,Organic,29.12,19.9,9.99,71,26.28,199.0,3.6,12.99,34.99
Prime Revenue,birthstone,Organic,16180.52,1819.86,9.99,38,62289.77,1284337.28,2.72,309.95,8851.44
Prime Prices,birthstone,Organic,47.47,21.99,9.99,708,105.09,2175.0,2.72,13.99,41.19
Amount Discounted,birthstone,Organic,8.99,4.0,2.0,109,12.81,100.0,0.49,2.0,10.0
Percentage Discounted,birthstone,Organic,0.22,0.18,0.2,32,0.15,0.7,0.05,0.1,0.29
Revenue,birthstone,Paid,17229.22,1203.72,8969.31,15,81060.09,1284337.28,7.99,299.8,5926.78
Prices,birthstone,Paid,59.9,35.99,79.99,39,74.63,894.89,5.99,16.11,79.99
Rating,birthstone,Paid,4.18,4.4,4.4,125,1.1,5.0,0.0,4.3,4.6
Reviews Count,birthstone,Paid,564.56,31.0,1.0,35,2598.47,43535.0,1.0,8.0,159.0
Best Sellers Revenue,birthstone,Paid,34803.28,2487.58,727.35,1,65824.91,133510.63,727.35,766.35,36524.51
Best Sellers Prices,birthstone,Paid,14.79,11.59,9.99,1,7.51,25.99,9.99,10.89,15.49
Past Month Sales Revenue,birthstone,Paid,76071.63,6856.88,530.41,5,205342.43,1284337.28,47.96,766.35,62148.43
Past Month Sales Prices,birthstone,Paid,25.05,13.99,9.99,12,26.31,129.99,5.99,11.98,23.24
Prime Revenue,birthstone,Paid,16975.59,1287.79,8969.31,14,85267.81,1284337.28,7.99,302.98,5999.5
Prime Prices,birthstone,Paid,55.76,36.49,9.99,38,65.91,894.89,5.99,15.98,79.99
Amount Discounted,birthstone,Paid,15.45,10.0,30.0,17,14.6,50.0,0.95,3.8,30.0
Percentage Discounted,birthstone,Paid,0.21,0.2,0.19,17,0.11,0.56,0.05,0.16,0.22
Revenue,cubic zirconia,Organic,12886.34,1198.8,9.99,46,41134.8,1141697.27,0.79,184.66,7407.64
Prices,cubic zirconia,Organic,30.98,15.99,9.99,869,71.4,3499.0,0.79,12.96,28.3
Rating,cubic zirconia,Organic,4.22,4.4,4.5,1837,0.81,5.0,0.0,4.1,4.5
Reviews Count,cubic zirconia,Organic,673.92,57.0,1.0,758,2163.93,45855.0,1.0,9.0,365.0
Best Sellers Revenue,cubic zirconia,Organic,200961.31,63178.7,63178.7,6,263295.46,1021566.4,727.35,19160.02,353641.34
Best Sellers Prices,cubic zirconia,Organic,14.85,13.95,13.95,7,6.44,41.95,5.99,11.19,14.99
Past Month Sales Revenue,cubic zirconia,Organic,44597.25,13248.53,61603.2,9,90265.19,1141697.27,6.99,2377.61,53790.97
Past Month Sales Prices,cubic zirconia,Organic,17.67,13.99,9.99,119,16.6,446.0,3.49,11.99,17.96
Prime Revenue,cubic zirconia,Organic,14039.53,1428.9,9.99,44,43137.45,1141697.27,2.99,220.04,8778.4
Prime Prices,cubic zirconia,Organic,27.63,15.95,9.99,851,60.71,3499.0,2.99,12.95,26.99
Amount Discounted,cubic zirconia,Organic,5.55,2.99,1.0,181,9.9,101.5,0.5,1.5,5.01
Percentage Discounted,cubic zirconia,Organic,0.2,0.14,0.07,35,0.15,0.7,0.03,0.08,0.27
Revenue,cubic zirconia,Paid,13703.81,1281.08,361.2,7,66203.94,1212977.28,7.99,209.2,5520.22
Prices,cubic zirconia,Paid,55.38,19.99,12.99,30,144.38,1650.0,5.49,13.95,40.49
Rating,cubic zirconia,Paid,4.14,4.4,4.5,88,1.08,5.0,0.0,4.1,4.6
Reviews Count,cubic zirconia,Paid,487.23,36.0,1.0,23,1785.98,16730.0,1.0,9.0,205.75
Best Sellers Revenue,cubic zirconia,Paid,128749.11,128749.11,128749.11,1,,128749.11,128749.11,128749.11,128749.11
Best Sellers Prices,cubic zirconia,Paid,14.99,14.99,14.99,1,,14.99,14.99,14.99,14.99
Past Month Sales Revenue,cubic zirconia,Paid,46014.19,4515.48,749.5,3,147835.53,1212977.28,19.98,749.5,30851.01
Past Month Sales Prices,cubic zirconia,Paid,21.74,14.99,9.99,9,21.34,129.99,7.99,12.99,19.99
Prime Revenue,cubic zirconia,Paid,14479.93,1148.02,361.2,7,68818.62,1212977.28,7.99,199.8,5522.98
Prime Prices,cubic zirconia,Paid,41.84,19.99,12.99,30,105.55,1650.0,5.49,13.56,37.0
Amount Discounted,cubic zirconia,Paid,5.87,3.0,1.0,12,8.52,44.14,1.0,2.0,5.59
Percentage Discounted,cubic zirconia,Paid,0.17,0.13,0.07,9,0.11,0.5,0.05,0.09,0.22
Revenue,sterling silver,Organic,16120.66,2410.32,9.99,24,43634.54,870240.0,0.07,432.64,11773.27
Prices,sterling silver,Organic,35.62,17.99,9.99,1001,99.18,9589.99,0.07,12.99,33.99
Rating,sterling silver,Organic,4.24,4.4,4.5,2533,0.78,5.0,0.0,4.2,4.6
Reviews Count,sterling silver,Organic,881.2,104.0,1.0,672,2555.2,47303.0,1.0,17.0,599.0
Best Sellers Revenue,sterling silver,Organic,129567.2,27522.44,5047.79,5,186722.27,870240.0,711.11,13838.4,177889.76
Best Sellers Prices,sterling silver,Organic,14.8,13.95,9.99,7,7.88,56.0,4.1,9.99,15.98
Past Month Sales Revenue,sterling silver,Organic,41185.34,12365.99,2687.31,10,77803.59,870240.0,6.98,2603.0,43318.2
Past Month Sales Prices,sterling silver,Organic,17.26,13.99,13.99,320,12.44,168.0,0.7,11.99,17.99
Prime Revenue,sterling silver,Organic,17556.62,2901.58,19.98,22,45703.0,870240.0,2.99,558.0,13771.01
Prime Prices,sterling silver,Organic,29.08,16.99,9.99,976,41.82,1450.0,2.99,12.99,29.99
Amount Discounted,sterling silver,Organic,5.09,2.71,1.0,277,9.0,145.01,0.5,1.0,5.0
Percentage Discounted,sterling silver,Organic,0.2,0.15,0.07,52,0.15,0.96,0.05,0.09,0.25
Revenue,sterling silver,Paid,18360.38,1807.0,769.89,8,74301.88,1157576.0,7.98,282.36,8624.36
Prices,sterling silver,Paid,47.4,22.99,14.99,31,124.41,2149.0,3.69,14.96,40.0
Rating,sterling silver,Paid,4.12,4.4,4.5,125,1.11,5.0,0.0,4.2,4.6
Reviews Count,sterling silver,Paid,857.79,59.0,1.0,33,3882.19,45861.0,1.0,10.0,337.0
Best Sellers Revenue,sterling silver,Paid,40252.05,29387.22,749.73,1,45909.3,90619.2,749.73,15068.48,60003.21
Best Sellers Prices,sterling silver,Paid,9.39,8.99,7.99,1,1.64,11.19,7.99,8.49,10.09
Past Month Sales Revenue,sterling silver,Paid,39783.1,4739.21,12.99,2,118370.63,733317.39,12.99,1320.9,27649.06
Past Month Sales Prices,sterling silver,Paid,21.87,13.99,9.99,13,22.68,129.99,3.69,11.44,19.99
Prime Revenue,sterling silver,Paid,20855.36,2199.6,769.89,8,79470.81,1157576.0,7.98,391.39,11057.0
Prime Prices,sterling silver,Paid,38.98,22.99,14.99,31,81.34,1699.0,4.99,13.99,39.99
Amount Discounted,sterling silver,Paid,3.14,2.05,1.0,16,3.12,20.0,0.6,1.0,3.9
Percentage Discounted,sterling silver,Paid,0.15,0.12,0.08,4,0.09,0.5,0.05,0.08,0.2
Revenue,rings,Organic,16970.68,2038.64,9.99,21,47289.9,897518.7,0.03,336.7,12123.38
Prices,rings,Organic,34.37,12.99,9.99,823,162.54,4768.9,0.01,9.99,19.99
Rating,rings,Organic,4.27,4.4,4.5,949,0.66,5.0,0.0,4.1,4.6
Reviews Count,rings,Organic,1128.89,118.0,1.0,209,3382.27,71518.0,1.0,22.0,725.0
Best Sellers Revenue,rings,Organic,166850.17,85724.19,388238.95,9,178661.12,797241.18,35.98,28911.06,231766.92
Best Sellers Prices,rings,Organic,13.3,11.99,9.99,22,5.96,54.95,5.88,9.99,14.99
Past Month Sales Revenue,rings,Organic,27354.91,6155.6,61519.5,10,61685.92,797241.18,5.97,1235.67,23511.88
Past Month Sales Prices,rings,Organic,13.9,12.58,9.99,288,9.93,249.99,0.5,8.99,14.99
Prime Revenue,rings,Organic,17564.07,2232.49,9.99,21,48128.27,897518.7,3.69,371.88,12816.24
Prime Prices,rings,Organic,32.42,12.99,9.99,814,162.97,4768.9,1.31,9.99,18.99
Amount Discounted,rings,Organic,4.87,2.0,1.0,194,10.29,128.48,0.5,1.0,5.0
Percentage Discounted,rings,Organic,0.2,0.16,0.1,31,0.14,0.78,0.05,0.1,0.29
Revenue,rings,Paid,16059.95,4438.74,111.92,3,31384.55,257091.43,12.99,964.42,16662.51
Prices,rings,Paid,34.55,15.96,13.99,17,55.02,398.99,4.88,13.34,28.24
Rating,rings,Paid,4.28,4.3,4.4,24,0.61,5.0,0.0,4.2,4.5
Reviews Count,rings,Paid,812.68,188.0,1.0,5,1393.15,8466.0,1.0,40.75,830.0
Best Sellers Revenue,rings,Paid,56338.38,56338.38,56338.38,1,,56338.38,56338.38,56338.38,56338.38
Best Sellers Prices,rings,Paid,21.99,21.99,21.99,1,,21.99,21.99,21.99,21.99
Past Month Sales Revenue,rings,Paid,20321.72,8923.78,3329.62,3,27109.28,119922.0,111.92,2689.55,24324.24
Past Month Sales Prices,rings,Paid,15.6,13.99,13.99,7,11.52,69.99,5.99,9.99,15.98
Prime Revenue,rings,Paid,16297.23,4549.09,111.92,3,31919.66,257091.43,12.99,979.3,17275.68
Prime Prices,rings,Paid,28.64,14.99,13.99,17,36.97,299.99,4.88,12.99,27.6
Amount Discounted,rings,Paid,5.9,2.0,1.0,3,6.31,20.0,1.0,1.96,10.0
Percentage Discounted,rings,Paid,0.16,0.12,0.1,2,0.08,0.3,0.07,0.1,0.2
Revenue,necklace,Organic,18163.75,1917.36,19.98,53,62150.91,1283887.33,1.62,287.64,10385.0
Prices,necklace,Organic,23.22,12.99,9.99,1060,60.93,2099.0,0.01,9.99,17.99
Rating,necklace,Organic,4.34,4.4,4.5,1618,0.61,5.0,0.0,4.3,4.6
Reviews Count,necklace,Organic,1049.45,120.0,1.0,277,3286.48,45839.0,1.0,21.0,668.0
Best Sellers Revenue,necklace,Organic,145847.47,26539.62,7882.11,5,245246.82,1068621.68,89.91,9460.11,195874.33
Best Sellers Prices,necklace,Organic,16.93,13.99,9.99,10,13.07,68.89,4.13,9.99,16.24
Past Month Sales Revenue,necklace,Organic,35530.77,5652.35,19.98,10,95267.02,1283887.33,5.04,1228.36,25570.35
Past Month Sales Prices,necklace,Organic,17.23,13.45,9.99,372,15.11,159.99,0.01,9.99,17.1
